EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,0.10584000475648,0.11060222792931,0.11521136634007,0.10883273463227,0.11067529487972,0.118680153693,0.080929525848535,0.1183085964821,0.11881342410424,0.11426738518649,0.10118900507896,0.099535856139091,0.10607189477449,0.11905327603204,0.11580358160438,0.1250229757394,0.12305916057823,0.12981297189013,0.12548565454729,0.15184214039383,0.15035461335607,0.09662228016097,0.11873676772124,0.12622063112511,0.12930176519247,0.12523950782658,0.12718835018169,0.11400682102066,0.1163993151846,0.13265350197645,0.1399956837766,0.11572723391901,0.10275627997967
AFG,Afghanistan,0.44966882607967,0.50775685366126,0.46538208745363,0.628268703468,0.81794305311269,0.56186549970892,0.65166548382634,0.73706648286279,0.81297599169908,0.90639894720494,0.85790621668674,0.81559404951099,0.63386799375911,0.60592235568256,0.59939524399525,0.55105187078647,0.53079460202358,0.49553043816223,0.56120866862788,0.5268593070917,0.52858062070588,0.60094625890536,0.50196524163456,0.45243501381589,0.44491641816189,0.43846936270863,0.41996606959297,0.42527314036041,0.41587089636292,0.38599316359956,0.36697050212828,0.47596161075052,0.47866055732678
AGO,Angola,0.51014296356048,0.50323597384761,0.52098076100333,0.76261698646773,0.97465970526939,0.97598227890536,1.0277848267183,0.9985623964076,1.0252319063636,1.0135664108714,0.92187956136406,0.85793642568144,0.7411808088362,0.72231963985556,0.70937006569515,0.60927914377932,0.49443353595432,0.4281562208626,0.41049505952879,0.41355854933042,0.43485761967773,0.41254281740573,0.38860656566683,0.39184763822007,0.38372362691651,0.40211791681941,0.39895578497289,0.37565046694124,0.36359124521189,0.36250835969253,0.3556385852322,0.34127805755895,0.3162855397205
AIA,Anguilla,0.035708213012773,0.054927078382518,0.04325513994104,0.050091228844603,0.061326108786274,0.074167287765077,0.076553387331809,0.066703196004668,0.054345546501119,0.048140954763609,0.063311734508346,0.065783299206532,0.055004711070849,0.057205987421624,0.049001717073931,0.041246246108242,0.037225771290702,0.030724045712598,0.036807786601518,0.063325977142897,0.075939089175423,0.081545102078556,0.088336195257716,0.10934950768794,0.11506623496204,0.1335021100458,0.14950352132652,0.17632451666045,0.22369935352794,0.14622665484165,0.13292426681645,0.12212222553622,0.11098783995832
ALB,Albania,0.72920763654943,0.79533609298945,0.58437805038651,0.53652699696505,0.55055860742883,0.46068438026293,0.40547902482661,0.40137103592598,0.38659287235648,0.41365569315889,0.39838418118751,0.37772382040506,0.39178760804805,0.38011087316547,0.36943051834968,0.33329554741581,0.31649003873721,0.29701306190596,0.26889424730264,0.25942641755148,0.26001331429577,0.2660686057484,0.2534437856733,0.25887553993515,0.26904435361524,0.25851523878651,0.23934668625468,0.25291595615632,0.24178403642433,0.22439605267339,0.20867002367118,0.19245404331729,0.18554347023973
ANT,Curaçao,1.0060756520529,1.0178254395276,1.0460147853404,0.85862733042622,0.93409527937329,0.90808714411902,0.88710079090039,1.6165533868293,1.6075112504338,1.5220328643136,1.5400164626931,1.5504475435573,1.4769354742504,1.4728248004785,1.527510597336,1.5907430285171,1.5290738984771,1.6134633888678,1.5647117599021,1.4899407905692,1.0872186381989,1.3890901775244,1.41275912428,1.3094436863188,1.4589364387252,1.4700976228534,1.2891697378789,1.0586862329278,0.87663512366523,0.70356511542388,0.71043446884059,0.65730476576992,0.60003160630963
ARE,United Arab Emirates,0.42138520217966,0.46395967462798,0.44389017933877,0.47116393789276,0.46772955353857,0.46514638956653,0.46264818907575,0.43674418259321,0.43960896604263,0.43863472272687,0.40269803970958,0.44213088620198,0.43663189042729,0.42443637774854,0.40547702408796,0.41194101163896,0.39073395460002,0.40139687416633,0.44636786005534,0.47321255606256,0.48509769104564,0.46959580954699,0.46909022553293,0.4681114230136,0.45526577206703,0.44928843522455,0.43876031857754,0.41981064178968,0.38757681884851,0.40635807193835,0.4316689127711,0.43909423290561,0.42070261513194
ARG,Argentina,0.56931413638106,0.52965791602733,0.49450077450176,0.46157936582249,0.44547728286499,0.46357203683864,0.45145564071484,0.4249707182583,0.41607866926421,0.44152558082393,0.44220571742302,0.45621829230626,0.51013870842586,0.50514113178041,0.49238023068688,0.45639217103146,0.43924909031879,0.4105686568215,0.39532483292673,0.39399869294131,0.3609492005142,0.34785982261751,0.35647100760714,0.35729062864559,0.36485674670825,0.36338750012646,0.37188489406002,0.3648314542424,0.37376907008905,0.37680694432963,0.40193189362321,0.38374286626636,0.36904266537885
ARM,Armenia,1.3298371770071,1.5409447222081,1.4907057997049,0.90035283930423,0.59589136111595,0.62755399674547,0.50016652940594,0.55109887997768,0.51716841576519,0.46940848679689,0.48558399945508,0.45363669149908,0.37252795431286,0.35281446042074,0.34385640402044,0.33586419298229,0.29559179984131,0.28687016529669,0.28395442685699,0.28116594836972,0.26557532880368,0.27607125391223,0.28658803520097,0.27774586909435,0.2705326808921,0.26019869367306,0.2539647535783,0.24172316503122,0.23407150380503,0.22948213998554,0.26156876604296,0.25250814816929,0.21022848485541
ATG,Antigua and Barbuda,0.25509469281034,0.2529378830083,0.25211783914257,0.23794887688287,0.23348649343049,0.25303769271105,0.2370540023122,0.23250939668464,0.22635357009194,0.21486224320077,0.16238993812107,0.17023330043139,0.17908473974483,0.17918142612522,0.17288963739727,0.16541886841962,0.15671982352489,0.15388955151596,0.1625234447728,0.20194096297075,0.21336531218628,0.1785359361002,0.18606817158747,0.21535783690656,0.21326678175181,0.20486736953486,0.2054923523087,0.17733127075442,0.18555931019681,0.19368756047336,0.20604316333138,0.18812984406803,0.17883966330112
