Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,Agriculture,AFG,Afghanistan,0.02922856714297,0.02922856714297,0.02922856714297,0.02922856714297,0.039966660809679,0.045309516866809,0.050599992628773,0.061442848371693,0.05892856311455,0.055471420885978,0.061338085495393,0.047299993000176,0.062804751819194,0.060395228981158,0.08700474901937,0.087738082409867,0.081347605704921,0.088680940409981,0.079566653152486,0.079776176847715,0.069404749361913,0.068461893190573,0.062542846800113,0.062857131428571,,,0.0078571414285714,0.0078571414285714,0.0086428555714286,0.0078571414285714,0.0078571414285714,0.038028566171611,0.032685708342857,0.036142850571429,0.040857135428571,0.050285708000314,,,,,,,0.062857131428571,0.055157132828571,0.08449046090477,0.11696664589529,0.16279997108579,0.31088089692392,0.16091425748583,0.15043806952399,0.064795227495368,0.054360943815383,0.046161494877341
CO2,Agriculture,ALB,Albania,0.11329999997369,0.11329999997369,0.11329999997369,0.11329999997369,0.11361428563083,0.11251428560224,0.12775714020226,0.13514285314512,0.16955713260226,0.16798570431655,0.16295713380226,0.17049998957369,0.16782856148798,0.17285713257375,0.17757141800239,0.17757141800239,0.17757141800239,0.16059999143084,0.16908570543098,0.1929714180027,0.16531427388772,0.035042850771429,0.023257138628571,0.027342853600157,0.031533332019534,0.028285713714789,0.015399999657413,0.010633332904927,0.038761901905223,0.011838094323946,0.016552380552668,0.022419046819408,0.051699996886406,0.038604761476915,0.060028566572095,0.010319046733442,0.042166664581566,0.041799998057765,0.030171427771944,0.026714282743065,0.022628569143058,0.030171425657426,0.054161900133907,0.032738092981359,0.056623805381629,0.058719041933882,0.049604756162265,0.05667618607684,0.048976185705217,0.069404755134153,0.063066661524857,0.063936185443052,0.064880163097727
CO2,Agriculture,ARG,Argentina,0.10434285042018,0.10434285042018,0.10434285042018,0.10434285042018,0.087214278442714,0.077314278296651,0.070085708411314,0.11109998964074,0.11801427627219,0.13781427358517,0.13734284486998,0.094338086131382,0.098161897056126,0.11560475079667,0.17846188416972,0.17919521498693,0.15902855383474,0.16070474351123,0.17448093241715,0.17008093070135,0.17505712183592,0.16678093381645,0.25719044860138,0.2819142532077,0.46865232367466,0.54339993892952,0.82321894906116,0.78697134315853,0.67744278289919,0.73354277962286,0.76214277305498,0.86899989459868,0.84532370469087,1.1625427455917,1.3601760516991,1.034942762156,1.2444141580162,1.3637903462668,0.91724277156897,0.80708562962143,1.0345236909776,1.1153998557439,0.92468083745715,0.99916653888773,1.1451522285796,0.89225703632669,1.3595474430515,1.2781998278498,1.6361188333599,1.7030616646995,1.9254711559947,2.1081025513604,2.3233749086228
CO2,Agriculture,ARM,Armenia,0.055288202519284,0.055288202519284,0.055288202519284,0.055288202519284,0.059966435040146,0.059966435040146,0.06343258004424,0.071151663703663,0.072895368552348,0.074979308493459,0.076956924968187,0.07719083659423,0.077105777821124,0.082060451354583,0.082124245434413,0.084016803136034,0.087185242434255,0.08931171176192,0.082932303778925,0.067600459926462,0.063441678664859,0.059282897403256,0.055124116141652,0.050965334880049,0.046806553618446,0.042647772356842,0.038488991095239,0.02514285714336,0.030171428572032,0.019171428571812,0.02200000000044,0.0157142857146,0.013828571428848,0.00471428571438,0.049657142858136,0.044628571429464,,0.022628567314286,0.011314283657143,0.013985711742857,0.010999998,0.010999998,0.018857142400327,0.021685714286148,0.022628571314726,0.022628571314726,0.022471428486154,0.034257142343486,0.035985713457771,0.043738093038728,0.035409523124442,0.036038094438728,0.036771427638728
CO2,Agriculture,AUS,Australia,0.31114284175401,0.31114284175401,0.31114284175401,0.31114284175401,0.31114284175401,0.26819046079197,0.24671426945177,0.23063331869591,0.26557140715989,0.33261902336019,0.31952378554868,0.28599997430269,0.28809521125146,0.36195234868091,0.39338091096801,0.40019043449017,0.39437615177803,0.44298567056152,0.46037614458103,0.53381423113497,0.54675232354145,0.58137613269572,0.59305708675981,0.65083326521026,0.70258564250612,0.81845230112429,0.99041894102319,1.0932951198453,1.2183808089839,1.419523629557,1.2529522375613,1.3770950807191,1.6824236379409,1.574518890774,1.7661807812529,1.6163712696844,1.5009236754173,1.4407903550073,1.4446665439463,1.4902379711181,1.6955712804529,1.8322855470338,1.8509331326729,2.1288664186349,2.1829235673383,2.2917711942511,2.5052235255729,2.6412044032191,2.1553711980083,2.2901997619774,2.4330426052813,2.4523711731956,2.471969197514
CO2,Agriculture,AUT,Austria,0.0064428570016971,0.0064428570016971,0.0064428570016971,0.0064428570016971,0.0051857141441771,0.0050285713156057,0.0051857141441771,0.0045571427154171,0.0040857141152286,0.0039285712866571,0.0053428569725726,0.0049238093533406,0.0066523808103451,0.009271428372296,0.0090095235818114,0.0074904758196846,0.0085904758482811,0.0087999996578091,0.010004761305424,0.0087476185623783,0.012728570829288,0.010999999142983,0.010999999142983,0.013095237238263,0.015714284000126,0.012047617619131,0.012047617619131,0.012047617619131,0.012047617619131,0.013619045904846,0.012047617619131,0.012047617619131,0.012047617619131,0.016238093809691,0.022523806954309,0.014352379525699,0.035304760483779,0.053952379537051,0.032999998578971,0.040857141152286,0.031428568002011,0.027761901621017,0.041904758480171,0.060342852005921,0.062857137721137,0.081138088991743,0.071499995353807,0.066419043629968,0.054109520188675,0.052852377331507,0.051542853607505,0.049973318866701,0.048303383824201
CO2,Agriculture,AZE,Azerbaijan,0.041466151889463,0.041466151889463,0.041466151889463,0.041466151889463,0.044974826280109,0.044974826280109,0.04757443503318,0.053363747777747,0.054671526414261,0.056234481370094,0.05771769372614,0.057893127445673,0.057829333365843,0.061545338515937,0.061593184075809,0.063012602352026,0.065388931825691,0.06698378382144,0.062199227834194,0.050700344944847,0.047581258998644,0.044462173052442,0.041343087106239,0.038224001160037,0.035104915213834,0.031985829267632,0.028866743321429,0.025747657375227,0.031271427000453,0.042585714143693,0.006600000000132,0.030957142829187,0.052014285686751,0.10842857143074,0.05814285714402,0.049028571429552,0.066942857144196,0.055942857143976,0.09742857143052,0.061233333248834,0.051438095181975,0.073909523668129,0.062333333163133,0.058823809154221,0.10507619024987,0.10277142794555,0.095909523269581,0.13231428400317,0.16248571349064,0.24131904268364,0.26117142291941,0.26670285048513,0.27321764295141
CO2,Agriculture,BEL,Belgium,0.041747618170914,0.041747618170914,0.041747618170914,0.041747618170914,0.037871427866798,0.042533332543952,0.03870952333421,0.033052380818793,0.030171428351531,0.03127142838048,0.032528571238,0.030799999780291,0.0293857140942,0.02749999980792,0.02687142837916,0.02687142757784,0.024985713177086,0.025142856005657,0.022523809243794,0.017809523241909,0.018333333051474,0.026190475624789,0.019904761337189,0.019904761337189,0.019904761337189,0.032476189912389,0.032476189912389,0.032476189912389,0.030380951817109,0.027761903910503,0.043476190201874,0.047666666394194,0.053952380681794,0.05866666668368,0.053952380681794,0.053952380681794,0.053952380681794,0.066523809256994,0.047666666394194,0.060238094969394,0.045047616198103,0.045047616198103,0.045047616198103,0.046619044483817,0.046619044483817,0.040333330196217,0.040333330196217,0.040333330196217,0.040333330196217,0.040333330196217,0.039023806472215,0.038929520775072,0.038835763782773
CO2,Agriculture,BGD,Bangladesh,0.2085285356893,0.2085285356893,0.2085285356893,0.2085285356893,0.13435711945884,0.23665710131674,0.26667138157388,0.35828565051655,0.36582850880236,0.42046183353743,0.42732373586904,0.40825707469061,0.49819515544354,0.56168085932885,0.61379989068949,0.58787132408967,0.67414273686091,0.75145700760226,0.83961413523215,0.99267124865809,0.96014268325827,1.1147712270305,1.1262950347259,1.1654236020137,1.2676711990015,1.4917568740326,1.5742568588035,1.3857378456126,1.3998807028136,1.6307759077731,1.5841568640915,1.6987139903517,1.6703235152444,1.7307711231487,1.8729330060265,1.8464282494336,1.8575330024233,2.0325901094515,1.8533425234887,1.8255282535733,1.976332994195,1.808294940671,1.7910092284995,1.8303473247395,2.1338948909615,2.054694917476,1.9670092109037,2.0311234899902,2.1478806166479,2.1904663367922,2.1926663561658,2.2202606439037,2.2510196559804
CO2,Agriculture,BGR,Bulgaria,0.91787139920468,0.91787139920468,0.91787139920468,0.91787139920468,0.93939996637607,0.97004283046405,0.92054282466805,0.81572855068807,0.82672854582973,0.88377139100468,0.93892853715534,1.1138285277133,1.0300713879681,1.0303856814353,0.87119998698988,0.8342714021162,0.76245711487336,0.74108568573107,0.8551713958551,0.74847140039104,0.70242854550571,0.57435712416021,0.5097714128679,0.49609999449767,0.61725713612677,0.34885714229263,0.43528570657929,0.36425713560772,0.31271428200761,0.23162856714807,0.40747142397907,0.41485713715053,0.36582856857843,0.37242856829282,0.38185713972158,0.38499999572151,0.38028571143586,0.38814285286443,0.31742856572001,0.44628570743674,0.52171428229577,0.53742856686739,0.69331428001324,0.60238094267765,0.87214284487323,0.69771427201245,0.90969997313181,0.84375235257352,0.7574285485955,0.84322854539246,0.90718568627977,1.0661128866405,1.071093166701
